id,nome_arquivo,caminho_relativo,sha256_arquivo,sha256_texto,simhash_texto,palavras_texto,status
10-great-free-ai-learning-resources-for-2026-by-omar-s-2114e37,10 Great Free AI Learning Resources for 2026 _ by Omar Santos _ Medium.pdf,07_Roadmaps_Pesquisa_e_Produtividade/Aprendizado_e_Pesquisa/10 Great Free AI Learning Resources for 2026 _ by Omar Santos _ Medium.pdf,0d59c652769a5b3533dcf7e08f97395973f087009de5becf65a80b3d137f64d1,e3c81c2479903664be461a639cc67796f7047b5da8d7b119c2697e03ac127f34,e41e99d4221cd146,2083,catalogado
20-hidden-notebooklm-features-most-users-never-discove-ab46df1,"20 Hidden NotebookLM Features Most Users Never Discover _ by Mubashir Burfat _ Jun, 2026 _ Medium.pdf","07_Roadmaps_Pesquisa_e_Produtividade/Produtividade_com_IA_e_NotebookLM/20 Hidden NotebookLM Features Most Users Never Discover _ by Mubashir Burfat _ Jun, 2026 _ Medium.pdf",9d7e7bcc2eef56ea6fadf3b9bee4980de6fd5e465941c2eb8f3c20cfb066cff2,4a9bff58f0622ed1a3543d2a0d44535226aa5504eca6efba6a279b070680e0cb,f280498c14d76401,2477,catalogado
6-research-papers-every-data-scientist-should-read-in--b756c4a,6 Research Papers Every Data Scientist Should Read In 2026 _ by Andres Vourakis _ Data Science Collective _ Medium.pdf,07_Roadmaps_Pesquisa_e_Produtividade/Aprendizado_e_Pesquisa/6 Research Papers Every Data Scientist Should Read In 2026 _ by Andres Vourakis _ Data Science Collective _ Medium.pdf,959564d1d801a02ff8c70811fee352ae9784b2ae4b5bbba0818fa9041c5aa9a8,cc807115edf6b21297c0a6007b426199a81c6a7b09fef7c55f66bff41f3d150b,c25cd4357f9c5d4e,1246,catalogado
7-genai-terms-that-keep-showing-up-everywhere-by-shrey-b83ea93,7 GenAI Terms That Keep Showing Up Everywhere _ by Shreyas Naphad _ Activated Thinker _ Medium.pdf,03_LLMs_e_GenAI/Conceitos_e_Fundamentos/7 GenAI Terms That Keep Showing Up Everywhere _ by Shreyas Naphad _ Activated Thinker _ Medium.pdf,057240a115f89dbb1789a2bc4a9f8f858d64c160fa1073808b2c647ad8338d50,c5cf668f6dcbdb93751edd48787c74e8d73d5c8e173b0da8d4d8854b3435e6f0,62a1d1b66da9cc32,1528,catalogado
7-super-dangerous-things-to-build-with-anthropic-s-fab-07a6546,"7 Super Dangerous Things To Build With Anthropic’s Fable 5 Before It Gets Banned Again _ by Joe Procopio _ Jul, 2026 _ Entrepreneurship Handbook.pdf","06_Mercado_Modelos_e_Noticias/Lancamentos_e_Comparativos_de_Modelos/7 Super Dangerous Things To Build With Anthropic’s Fable 5 Before It Gets Banned Again _ by Joe Procopio _ Jul, 2026 _ Entrepreneurship Handbook.pdf",11ea8f9736109c77bca93c925068803551654de7c3509040a7f9627e800d1e3b,083eb73ce9486086769c2037ea4c9c747c77ed442a480dcfc9e1190062150453,dc42aef9e5a81a33,1233,catalogado
agent-harnesses-with-claude-intuitively-and-exhaustive-12b1fb0,"Agent Harnesses with Claude — Intuitively and Exhaustively Explained _ by Daniel Warfield _ Intuitively and Exhaustively Explained _ Jun, 2026 _ Medium.pdf","04_Agentes_RAG_e_Apps_de_IA/Arquitetura_de_Agentes/Agent Harnesses with Claude — Intuitively and Exhaustively Explained _ by Daniel Warfield _ Intuitively and Exhaustively Explained _ Jun, 2026 _ Medium.pdf",7d68e105a92d03bca9ac699e088a418db47266817ea8ad7b479e7c537f6cba4e,fa09ef74cc0a98756142774e7cff334ebed513cd7a8be4db1ddb903c9762b4fa,dc8f94a1521167db,12856,catalogado
ai-isn-t-magic-it-s-math-and-most-people-are-skipping--a681e9b,AI Isn’t Magic. It’s Math — and Most People Are Skipping the Hard Part _ by Robi Kumar Tomar _ AI Mind.pdf,01_Fundamentos_Matematica_e_Deep_Learning/Matematica_para_IA/AI Isn’t Magic. It’s Math — and Most People Are Skipping the Hard Part _ by Robi Kumar Tomar _ AI Mind.pdf,58fdc90ed9a003b7b1ba3d788cd0422d4736f90fca46cbba297d62f80a439f10,5d59e89d898b294367c028b47a769d4f83cab9c5a3b56e0a9226ec204ebc5329,0ef5cde1ee3965ec,1648,catalogado
ai-trends-medium-7d3305f,AI-trends_Medium.pdf,06_Mercado_Modelos_e_Noticias/Industria_Estrategia_e_Impactos/AI-trends_Medium.pdf,bb0c8ccfb24b386006b858f288e9d604b89b69ea3a0f13d73f3fad08e959bca2,9bc1e734d26e05ebd7492553c267b7e25e7b01d41075c558eaecb1c8cdc79e2c,6bd1fb57da20ae30,1690,catalogado
anthropic-just-published-honest-data-nobody-in-ai-want-f12fb0b,Anthropic Just Published Honest Data Nobody in AI Wants to See _ by Marco Kotrotsos _ Medium.pdf,06_Mercado_Modelos_e_Noticias/Lancamentos_e_Comparativos_de_Modelos/Anthropic Just Published Honest Data Nobody in AI Wants to See _ by Marco Kotrotsos _ Medium.pdf,dfb208381a2346e16da0f30a1f4ccd1747bc3dc6af36fcd830aefa051747de1a,3ec16e033ed02b4f7fbc7c2631b1a66f8752bf7334ad0329029c50e62a735796,1b7af6e451c6c316,1791,catalogado
anthropic-growth-medium-1887965,Anthropic-Growth_Medium.pdf,06_Mercado_Modelos_e_Noticias/Industria_Estrategia_e_Impactos/Anthropic-Growth_Medium.pdf,5a241bc135fee4ca730f24cc32797ce3349b1da140365091cfaa4e1099095357,d43ae5eaa1ce82ffae955d30084a0c66febd284f4f1e5cbc333839cb38ee5d0c,6203ded51e4a635b,2836,catalogado
attention-in-transformers-intuitively-explained-by-ama-17c4a19,"Attention in Transformers — Intuitively Explained _ by Amarpreet Singh _ Data Science Collective _ Jun, 2026 _ Medium.pdf","02_Transformers_e_Attention/Attention in Transformers — Intuitively Explained _ by Amarpreet Singh _ Data Science Collective _ Jun, 2026 _ Medium.pdf",508cb14dfdf551f8726743f765399621dfc2e088b30ff86ec67f4b0ad0253230,03ed98cde01d59b0abacffec3100737b8aef68fd6869344dea74ce3abcf76534,d3f20884df49bb39,2224,catalogado
attention-mechanism-the-brain-behind-llms-medium-739d813,Attention Mechanism_ The Brain Behind LLMs _ Medium.pdf,02_Transformers_e_Attention/Attention Mechanism_ The Brain Behind LLMs _ Medium.pdf,2f5cd23329e2f82e38d7ae87be28237059106ba15f3dcaa5d40c9cbe1798561d,b021a89a29f0c4e6dbe927d101f5e1a1cbcffe97d90ec21635eeace312393ce1,dc709a90da258e91,1372,catalogado
