id,ativo,tipo,tema,subtema,titulo,autor,fonte,data_publicacao,resumo,palavras_chave,url_original,url_pdf_institucional,capa,paginas,idioma,data_inclusao
10-great-free-ai-learning-resources-for-2026-by-omar-s-2114e37,TRUE,medium,"Aprendizado, pesquisa e produtividade",Aprendizado e Pesquisa,10 Great Free AI Learning Resources for 2026,Omar Santos,Medium,,"Reúne dez recursos gratuitos para estudar inteligência artificial em 2026, incluindo cursos, documentação e materiais práticos. A seleção ajuda o leitor a organizar uma trilha de aprendizagem sem depender de assinaturas pagas.",Deep learning | LLMs | IA generativa | Agentes | MCP,https://medium.com/p/45c7d6de6867,,covers/10-great-free-ai-learning-resources-for-2026-by-omar-s-2114e37-01.jpg,10,en,2026-07-14
20-hidden-notebooklm-features-most-users-never-discove-ab46df1,TRUE,medium,"Aprendizado, pesquisa e produtividade",Produtividade com IA e NotebookLM,20 Hidden NotebookLM Features Most Users Never Discover,Mubashir Burfat,Medium,"Jun, 2026","Apresenta vinte recursos pouco conhecidos do NotebookLM e mostra como aplicá-los à leitura, síntese e exploração de documentos. O foco está em transformar a ferramenta em um ambiente mais produtivo para estudo e pesquisa.",Transformers | RAG | Conhecimento | NotebookLM | Pesquisa,https://medium.com/p/076ca3c1a31f,,covers/20-hidden-notebooklm-features-most-users-never-discove-ab46df1-01.jpg,19,en,2026-07-14
6-research-papers-every-data-scientist-should-read-in--b756c4a,TRUE,medium,"Aprendizado, pesquisa e produtividade",Aprendizado e Pesquisa,6 Research Papers Every Data Scientist Should Read In 2026,Andres Vourakis,Medium,,Seleciona seis artigos científicos considerados relevantes para profissionais de ciência de dados em 2026. O texto contextualiza a contribuição de cada trabalho e sugere por que ele merece entrar em uma agenda de leitura técnica.,Transformers | LLMs | Agentes | Conhecimento | Pesquisa,https://medium.com/p/eeb660fd2db1,,covers/6-research-papers-every-data-scientist-should-read-in--b756c4a-01.jpg,10,en,2026-07-04
7-genai-terms-that-keep-showing-up-everywhere-by-shrey-b83ea93,TRUE,medium,LLMs e IA generativa,Conceitos e Fundamentos,7 GenAI Terms That Keep Showing Up Everywhere,Shreyas Naphad,Medium,,"Explica sete termos recorrentes no debate sobre IA generativa, relacionando conceitos técnicos a usos práticos. É uma introdução para leitores que desejam acompanhar discussões sobre modelos, agentes e aplicações sem se perder no vocabulário.",Vetores | IA generativa | Agentes | RAG | Bases vetoriais,https://medium.com/p/7e5d81f0639c,,covers/7-genai-terms-that-keep-showing-up-everywhere-by-shrey-b83ea93-1.jpg,9,en,2026-07-04
7-super-dangerous-things-to-build-with-anthropic-s-fab-07a6546,TRUE,medium,"Modelos, mercado e indústria",Lancamentos e Comparativos de Modelos,7 Super Dangerous Things To Build With Anthropic’s Fable 5 Before It Gets Banned Again,Joe Procopio,Entrepreneurship Handbook,"Jul, 2026","Explora, em tom provocativo, sete aplicações avançadas que poderiam ser construídas com o modelo Fable 5 da Anthropic. O artigo combina ideias de produto, automação e riscos associados ao uso de modelos com maior autonomia.",Anthropic | Segurança,https://medium.com/p/85696b234e7a,,covers/7-super-dangerous-things-to-build-with-anthropic-s-fab-07a6546-1.jpg,7,en,2026-07-14
agent-harnesses-with-claude-intuitively-and-exhaustive-12b1fb0,TRUE,medium,"Agentes, RAG e aplicações",Arquitetura de Agentes,Agent Harnesses with Claude — Intuitively and Exhaustively Explained,Daniel Warfield,Medium,"Jun, 2026","Explica o conceito de agent harness e os componentes que cercam um modelo para transformá-lo em um agente confiável. Discute ferramentas, memória, planejamento, execução e mecanismos de controle usando Claude como referência.",LLMs | Agentes | Claude | Anthropic | Programação,https://medium.com/p/1ab5a3697d5f,,covers/agent-harnesses-with-claude-intuitively-and-exhaustive-12b1fb0-01.jpg,53,en,2026-07-04
ai-isn-t-magic-it-s-math-and-most-people-are-skipping--a681e9b,TRUE,medium,"Fundamentos, matemática e deep learning",Matematica para IA,AI Isn’t Magic. It’s Math — and Most People Are Skipping the Hard Part,Robi Kumar Tomar,AI Mind,,"Defende que compreender IA exige domínio dos fundamentos matemáticos que sustentam os modelos. O texto percorre conceitos como álgebra linear, probabilidade, otimização e cálculo, mostrando como eles aparecem no aprendizado de máquina.",Matemática | Álgebra linear | Vetores | Redes neurais | Deep learning,https://medium.com/p/571fd2c5c33f,,covers/ai-isn-t-magic-it-s-math-and-most-people-are-skipping--a681e9b-01.jpg,13,en,2026-07-01
anthropic-just-published-honest-data-nobody-in-ai-want-f12fb0b,TRUE,medium,"Modelos, mercado e indústria",Lancamentos e Comparativos de Modelos,Anthropic Just Published Honest Data Nobody in AI Wants to See,Marco Kotrotsos,Medium,,"Examina dados divulgados pela Anthropic sobre adoção, produtividade e limites do uso de IA no trabalho. O autor contrapõe expectativas de transformação imediata a evidências mais graduais e desiguais.",Atenção | Claude | Conhecimento | Anthropic | Pesquisa,https://medium.com/p/981f2591d0a9,,covers/anthropic-just-published-honest-data-nobody-in-ai-want-f12fb0b-01.jpg,11,en,2026-07-14
attention-in-transformers-intuitively-explained-by-ama-17c4a19,TRUE,medium,Transformers e atenção,,Attention in Transformers — Intuitively Explained,Amarpreet Singh,Medium,"Jun, 2026",Apresenta uma explicação intuitiva do mecanismo de atenção nos Transformers. O artigo mostra como o modelo pondera relações entre tokens e por que essa operação permite representar contexto de maneira mais flexível.,Vetores | Redes neurais | Transformers | Atenção | RNN,https://medium.com/p/bd2f0f46d32a,,covers/attention-in-transformers-intuitively-explained-by-ama-17c4a19-01.jpg,23,en,2026-07-01
attention-mechanism-the-brain-behind-llms-medium-739d813,TRUE,medium,Transformers e atenção,,Attention Mechanism: The Brain Behind LLMs,Autoria não identificada,Medium,,"Introduz o mecanismo de atenção como elemento central dos grandes modelos de linguagem. Explica consultas, chaves e valores e relaciona esses componentes à capacidade de selecionar informações relevantes no contexto.",Vetores | Redes neurais | Transformers | Atenção | LLMs,https://medium.com/p/67e2fdc84c5b,,covers/attention-mechanism-the-brain-behind-llms-medium-739d813-01.jpg,11,en,2026-07-02
